Sub_ID,Age,Region,Ethnicity_Group,Age_Groups,Gender_Group,Email_Flag,SM_Flag,month_id,watch_date,day_of_week,day_name,watch_Minutes,day_classification,month_name,tv_channel,watch_time,Watch_Hours,hour_of_day,duration,time_bucket
866315,35,Gauteng,black,Adult,male,1,1,201603,2016-03-17,5,Thu,0.583333,Weekday,March,Boomerang,22:32:00,0.009722,22,1899-12-31T00:00:35.000Z,Evening (17:00–23:59)
831720,29,Western Cape,coloured,Young Adult,male,1,1,201603,2016-03-01,3,Tue,10.166667,Weekday,March,ICC Cricket World Cup 2011,14:59:00,0.169445,14,1899-12-31T00:10:10.000Z,Afternoon (12:00–16:59)
808948,43,Western Cape,coloured,Adult,female,1,1,201602,2016-02-10,4,Wed,0.450000,Weekday,February,Channel O,19:46:00,0.007500,19,1899-12-31T00:00:27.000Z,Evening (17:00–23:59)
820361,28,Mpumalanga,white,Young Adult,male,1,1,201602,2016-02-27,7,Sat,0.333333,Weekend,February,Live Events,13:14:00,0.005556,13,1899-12-31T00:00:20.000Z,Afternoon (12:00–16:59)
820361,28,Mpumalanga,white,Young Adult,male,1,1,201602,2016-02-27,7,Sat,0.133333,Weekend,February,Live Events,16:06:00,0.002222,16,1899-12-31T00:00:08.000Z,Afternoon (12:00–16:59)
831732,22,Gauteng,coloured,Young Adult,male,1,1,201603,2016-03-08,3,Tue,1.383333,Weekday,March,Cartoon Network,17:51:00,0.023056,17,1899-12-31T00:01:23.000Z,Evening (17:00–23:59)
939622,38,Mpumalanga,white,Adult,male,1,1,201603,2016-03-30,4,Wed,0.316667,Weekday,March,CNN,13:29:00,0.005278,13,1899-12-31T00:00:19.000Z,Afternoon (12:00–16:59)
803542,36,Kwazulu Natal,indian_asian,Adult,male,1,1,201603,2016-03-31,5,Thu,29.050000,Weekday,March,Trace TV,14:52:00,0.484166,14,1899-12-31T00:29:03.000Z,Afternoon (12:00–16:59)
866202,24,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-16,4,Wed,2.200000,Weekday,March,ICC Cricket World Cup 2011,11:31:00,0.036666,11,1899-12-31T00:02:12.000Z,Morning (06:00–11:59)
2090526,52,Mpumalanga,black,Middle-Aged,male,1,1,201603,2016-03-04,6,Fri,32.483333,Weekday,March,Africa Magic,21:35:00,0.541389,21,1899-12-31T00:32:29.000Z,Evening (17:00–23:59)
771867,14,Gauteng,black,Teenager,male,1,1,201603,2016-03-13,1,Sun,5.200000,Weekend,March,M-Net,07:08:00,0.086666,7,1899-12-31T00:05:12.000Z,Morning (06:00–11:59)
771867,14,Gauteng,black,Teenager,male,1,1,201601,2016-01-30,7,Sat,1.383333,Weekend,January,Africa Magic,19:20:00,0.023056,19,1899-12-31T00:01:23.000Z,Evening (17:00–23:59)
808997,27,Limpopo,black,Young Adult,male,1,1,201602,2016-02-19,6,Fri,2.300000,Weekday,February,Trace TV,10:41:00,0.038333,10,1899-12-31T00:02:18.000Z,Morning (06:00–11:59)
808997,27,Limpopo,black,Young Adult,male,1,1,201601,2016-01-27,4,Wed,1.700000,Weekday,January,Channel O,06:12:00,0.028334,6,1899-12-31T00:01:42.000Z,Morning (06:00–11:59)
809000,47,Gauteng,black,Adult,male,1,1,201602,2016-02-19,6,Fri,1.166667,Weekday,February,Live Events,07:18:00,0.019445,7,1899-12-31T00:01:10.000Z,Morning (06:00–11:59)
809010,31,Gauteng,coloured,Young Adult,male,1,1,201602,2016-02-16,3,Tue,7.183333,Weekday,February,Cartoon Network,14:34:00,0.119723,14,1899-12-31T00:07:11.000Z,Afternoon (12:00–16:59)
939680,19,Gauteng,white,Teenager,male,1,1,201603,2016-03-27,1,Sun,10.450000,Weekend,March,Trace TV,16:06:00,0.174167,16,1899-12-31T00:10:27.000Z,Afternoon (12:00–16:59)
939680,19,Gauteng,white,Teenager,male,1,1,201603,2016-03-24,5,Thu,1.816667,Weekday,March,Boomerang,08:53:00,0.030278,8,1899-12-31T00:01:49.000Z,Morning (06:00–11:59)
831788,46,Western Cape,coloured,Adult,male,1,1,201603,2016-03-06,1,Sun,0.066667,Weekend,March,Live Events,20:37:00,0.001111,20,1899-12-31T00:00:04.000Z,Evening (17:00–23:59)
793670,44,Western Cape,coloured,Adult,male,1,1,201601,2016-01-15,6,Fri,12.883333,Weekday,January,Boomerang,11:02:00,0.214722,11,1899-12-31T00:12:53.000Z,Morning (06:00–11:59)
597268,28,Eastern Cape,black,Young Adult,male,1,1,201601,2016-01-06,4,Wed,1.500000,Weekday,January,Channel O,08:33:00,0.025000,8,1899-12-31T00:01:30.000Z,Morning (06:00–11:59)
779485,25,North West,black,Young Adult,male,1,1,201602,2016-02-02,3,Tue,1.300000,Weekday,February,Boomerang,09:23:00,0.021667,9,1899-12-31T00:01:18.000Z,Morning (06:00–11:59)
764429,22,Western Cape,white,Young Adult,male,1,1,201602,2016-02-27,7,Sat,2.516667,Weekend,February,M-Net,19:44:00,0.041944,19,1899-12-31T00:02:31.000Z,Evening (17:00–23:59)
859379,20,Gauteng,coloured,Young Adult,male,1,1,201603,2016-03-11,6,Fri,47.700000,Weekday,March,Live Events,07:38:00,0.795000,7,1899-12-31T00:47:42.000Z,Morning (06:00–11:59)
2285664,28,Mpumalanga,indian_asian,Young Adult,male,1,1,201603,2016-03-25,6,Fri,0.000000,Weekday,March,SuperSport Blitz,07:26:00,0.000000,7,1899-12-31T00:00:00.000Z,Morning (06:00–11:59)
831810,24,Kwazulu Natal,indian_asian,Young Adult,male,1,1,201603,2016-03-02,4,Wed,0.850000,Weekday,March,Trace TV,12:01:00,0.014167,12,1899-12-31T00:00:51.000Z,Afternoon (12:00–16:59)
904273,31,Gauteng,white,Young Adult,male,1,1,201603,2016-03-24,5,Thu,0.950000,Weekday,March,Boomerang,05:45:00,0.015833,5,1899-12-31T00:00:57.000Z,Midnight (00:00–05:59)
904274,23,Gauteng,Unknown,Young Adult,male,1,1,201603,2016-03-30,4,Wed,8.966667,Weekday,March,ICC Cricket World Cup 2011,12:06:00,0.149444,12,1899-12-31T00:08:58.000Z,Afternoon (12:00–16:59)
939712,42,Western Cape,black,Adult,male,1,1,201603,2016-03-23,4,Wed,0.816667,Weekday,March,Africa Magic,06:16:00,0.013611,6,1899-12-31T00:00:49.500Z,Morning (06:00–11:59)
771911,25,North West,black,Young Adult,male,1,1,201602,2016-02-02,3,Tue,3.000000,Weekday,February,SuperSport Blitz,00:33:00,0.050000,0,1899-12-31T00:03:00.000Z,Midnight (00:00–05:59)
893061,28,Gauteng,black,Young Adult,male,1,1,201603,2016-03-17,5,Thu,1.083333,Weekday,March,Boomerang,13:48:00,0.018056,13,1899-12-31T00:01:05.000Z,Afternoon (12:00–16:59)
531053,18,Western Cape,coloured,Teenager,male,1,1,201601,2016-01-11,2,Mon,2.283333,Weekday,January,Cartoon Network,07:09:00,0.038055,7,1899-12-31T00:02:17.000Z,Morning (06:00–11:59)
521247,21,Mpumalanga,black,Young Adult,male,1,1,201601,2016-01-03,1,Sun,7.100000,Weekend,January,Africa Magic,20:51:00,0.118334,20,1899-12-31T00:07:06.000Z,Evening (17:00–23:59)
930104,23,Limpopo,indian_asian,Young Adult,male,1,1,201603,2016-03-29,3,Tue,4.400000,Weekday,March,SuperSport Blitz,21:49:00,0.073334,21,1899-12-31T00:04:24.000Z,Evening (17:00–23:59)
809056,43,Western Cape,coloured,Adult,male,1,1,201601,2016-01-01,6,Fri,2.800000,Weekday,January,Trace TV,06:26:00,0.046666,6,1899-12-31T00:02:48.000Z,Morning (06:00–11:59)
882400,24,Gauteng,white,Young Adult,male,1,1,201603,2016-03-19,7,Sat,2.633333,Weekend,March,Live Events,18:41:00,0.043889,18,1899-12-31T00:02:38.000Z,Evening (17:00–23:59)
492897,23,Mpumalanga,coloured,Young Adult,male,1,1,201601,2016-01-20,4,Wed,14.100000,Weekday,January,Channel O,14:11:00,0.235000,14,1899-12-31T00:14:06.000Z,Afternoon (12:00–16:59)
819358,39,Western Cape,white,Adult,male,1,1,201603,2016-03-02,4,Wed,5.200000,Weekday,March,ICC Cricket World Cup 2011,11:59:00,0.086666,11,1899-12-31T00:05:12.000Z,Morning (06:00–11:59)
939753,43,Western Cape,coloured,Adult,male,1,1,201603,2016-03-19,7,Sat,0.133333,Weekend,March,SawSee,11:38:00,0.002222,11,1899-12-31T00:00:08.000Z,Morning (06:00–11:59)
820513,13,Western Cape,black,Teenager,male,1,1,201603,2016-03-03,5,Thu,17.000000,Weekday,March,Trace TV,05:25:00,0.283333,5,1899-12-31T00:17:00.000Z,Midnight (00:00–05:59)
771941,24,Western Cape,coloured,Young Adult,male,1,1,201601,2016-01-11,2,Mon,3.416667,Weekday,January,Live Events,06:12:00,0.056944,6,1899-12-31T00:03:25.000Z,Morning (06:00–11:59)
764468,34,Gauteng,black,Young Adult,male,1,1,201602,2016-02-02,3,Tue,2.150000,Weekday,February,Channel O,06:59:00,0.035833,6,1899-12-31T00:02:09.000Z,Morning (06:00–11:59)
788794,24,Limpopo,black,Young Adult,male,1,1,201602,2016-02-13,7,Sat,0.666667,Weekend,February,Live Events,21:02:00,0.011111,21,1899-12-31T00:00:40.000Z,Evening (17:00–23:59)
809094,37,Northern Cape,coloured,Adult,male,1,1,201602,2016-02-24,4,Wed,0.233333,Weekday,February,ICC Cricket World Cup 2011,17:22:00,0.003889,17,1899-12-31T00:00:14.000Z,Evening (17:00–23:59)
750489,36,Mpumalanga,black,Adult,male,1,1,201601,2016-01-29,6,Fri,2.100000,Weekday,January,Live Events,19:26:00,0.035000,19,1899-12-31T00:02:06.000Z,Evening (17:00–23:59)
2203487,50,Mpumalanga,black,Middle-Aged,male,1,1,201601,2016-01-14,5,Thu,0.383333,Weekday,January,Africa Magic,12:09:00,0.006389,12,1899-12-31T00:00:23.500Z,Afternoon (12:00–16:59)
939792,23,Eastern Cape,indian_asian,Young Adult,male,1,1,201603,2016-03-25,6,Fri,1.400000,Weekday,March,Live Events,09:36:00,0.023334,9,1899-12-31T00:01:24.000Z,Morning (06:00–11:59)
2285790,46,Mpumalanga,Unknown,Adult,male,1,1,201603,2016-03-25,6,Fri,63.783333,Weekday,March,CNN,13:44:00,1.063056,13,1899-12-31T01:03:47.000Z,Afternoon (12:00–16:59)
866345,18,Kwazulu Natal,black,Teenager,male,1,1,201603,2016-03-04,6,Fri,6.566667,Weekday,March,Boomerang,05:31:00,0.109444,5,1899-12-31T00:06:34.000Z,Midnight (00:00–05:59)
1106425,27,Gauteng,black,Young Adult,male,1,1,201603,2016-03-12,7,Sat,1.250000,Weekend,March,Live Events,14:10:00,0.020834,14,1899-12-31T00:01:15.000Z,Afternoon (12:00–16:59)
865452,0,Uncategorized,Unknown,Kids,Unknown,1,0,201603,2016-03-23,4,Wed,6.533333,Weekday,March,ICC Cricket World Cup 2011,10:14:00,0.108889,10,1899-12-31T00:06:32.000Z,Morning (06:00–11:59)
939807,28,Western Cape,coloured,Young Adult,male,1,1,201603,2016-03-30,4,Wed,0.000000,Weekday,March,Cartoon Network,19:08:00,0.000000,19,1899-12-31T00:00:00.000Z,Evening (17:00–23:59)
2368689,32,Gauteng,black,Young Adult,male,1,1,201601,2016-01-09,7,Sat,0.900000,Weekend,January,Channel O,16:53:00,0.015000,16,1899-12-31T00:00:54.000Z,Afternoon (12:00–16:59)
919378,33,Kwazulu Natal,black,Young Adult,male,1,1,201603,2016-03-25,6,Fri,5.233333,Weekday,March,ICC Cricket World Cup 2011,14:20:00,0.087222,14,1899-12-31T00:05:14.000Z,Afternoon (12:00–16:59)
820607,0,Uncategorized,Unknown,Kids,Unknown,1,0,201603,2016-03-20,1,Sun,0.000000,Weekend,March,Live Events,17:02:00,0.000000,17,1899-12-31T00:00:00.000Z,Evening (17:00–23:59)
904542,45,Gauteng,indian_asian,Adult,male,1,1,201603,2016-03-29,3,Tue,1.500000,Weekday,March,ICC Cricket World Cup 2011,09:13:00,0.025000,9,1899-12-31T00:01:30.000Z,Morning (06:00–11:59)
820616,49,Kwazulu Natal,indian_asian,Adult,male,1,1,201602,2016-02-19,6,Fri,1.266667,Weekday,February,ICC Cricket World Cup 2011,14:04:00,0.021111,14,1899-12-31T00:01:16.000Z,Afternoon (12:00–16:59)
809169,46,Gauteng,black,Adult,male,1,1,201603,2016-03-03,5,Thu,1.166667,Weekday,March,Live Events,21:11:00,0.019445,21,1899-12-31T00:01:10.000Z,Evening (17:00–23:59)
2090685,43,Western Cape,coloured,Adult,male,1,1,201602,2016-02-18,5,Thu,1.333333,Weekday,February,Africa Magic,20:09:00,0.022223,20,1899-12-31T00:01:20.000Z,Evening (17:00–23:59)
866389,15,Gauteng,black,Teenager,male,1,1,201601,2016-01-26,3,Tue,8.866667,Weekday,January,Live Events,18:57:00,0.147777,18,1899-12-31T00:08:52.000Z,Evening (17:00–23:59)
820627,30,Gauteng,black,Young Adult,male,1,1,201602,2016-02-27,7,Sat,69.850000,Weekend,February,Channel O,19:27:00,1.164167,19,1899-12-31T01:09:51.000Z,Evening (17:00–23:59)
1998924,38,Mpumalanga,coloured,Adult,male,1,1,201603,2016-03-19,7,Sat,1.350000,Weekend,March,CNN,12:12:00,0.022500,12,1899-12-31T00:01:21.000Z,Afternoon (12:00–16:59)
809185,0,Uncategorized,Unknown,Kids,Unknown,1,0,201603,2016-03-19,7,Sat,0.066667,Weekend,March,ICC Cricket World Cup 2011,04:44:00,0.001111,4,1899-12-31T00:00:04.000Z,Midnight (00:00–05:59)
926319,28,Limpopo,Unknown,Young Adult,male,1,1,201603,2016-03-30,4,Wed,0.316667,Weekday,March,Africa Magic,19:52:00,0.005278,19,1899-12-31T00:00:19.000Z,Evening (17:00–23:59)
803732,43,Kwazulu Natal,indian_asian,Adult,male,1,1,201601,2016-01-14,5,Thu,1.350000,Weekday,January,Channel O,22:55:00,0.022500,22,1899-12-31T00:01:21.000Z,Evening (17:00–23:59)
820641,31,Northern Cape,black,Young Adult,male,1,1,201602,2016-02-26,6,Fri,0.900000,Weekday,February,Africa Magic,15:49:00,0.015000,15,1899-12-31T00:00:54.500Z,Afternoon (12:00–16:59)
831969,33,Western Cape,coloured,Young Adult,female,1,1,201603,2016-03-08,3,Tue,1.033333,Weekday,March,ICC Cricket World Cup 2011,09:48:00,0.017223,9,1899-12-31T00:01:02.000Z,Morning (06:00–11:59)
880514,26,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-24,5,Thu,7.100000,Weekday,March,Live Events,13:48:00,0.118334,13,1899-12-31T00:07:06.000Z,Afternoon (12:00–16:59)
880514,26,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-15,3,Tue,0.050000,Weekday,March,Africa Magic,21:56:00,0.000833,21,1899-12-31T00:00:03.500Z,Evening (17:00–23:59)
880514,26,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-24,5,Thu,15.533333,Weekday,March,Live Events,10:11:00,0.258889,10,1899-12-31T00:15:32.000Z,Morning (06:00–11:59)
772054,27,Western Cape,white,Young Adult,male,1,1,201603,2016-03-12,7,Sat,181.200000,Weekend,March,ICC Cricket World Cup 2011,17:54:00,3.020000,17,1899-12-31T03:01:12.000Z,Evening (17:00–23:59)
809209,24,Western Cape,Unknown,Young Adult,male,1,1,201601,2016-01-09,7,Sat,0.983333,Weekend,January,Boomerang,11:19:00,0.016389,11,1899-12-31T00:00:59.000Z,Morning (06:00–11:59)
803754,26,North West,black,Young Adult,female,1,1,201602,2016-02-19,6,Fri,0.500000,Weekday,February,Cartoon Network,15:21:00,0.008333,15,1899-12-31T00:00:30.000Z,Afternoon (12:00–16:59)
2203607,54,Western Cape,coloured,Middle-Aged,male,1,1,201603,2016-03-01,3,Tue,46.233333,Weekday,March,ICC Cricket World Cup 2011,14:08:00,0.770556,14,1899-12-31T00:46:14.000Z,Afternoon (12:00–16:59)
898831,26,Gauteng,white,Young Adult,male,1,1,201603,2016-03-23,4,Wed,0.000000,Weekday,March,ICC Cricket World Cup 2011,10:07:00,0.000000,10,1899-12-31T00:00:00.000Z,Morning (06:00–11:59)
809228,43,Western Cape,coloured,Adult,male,1,1,201602,2016-02-18,5,Thu,0.566667,Weekday,February,Cartoon Network,19:33:00,0.009444,19,1899-12-31T00:00:34.000Z,Evening (17:00–23:59)
809228,43,Western Cape,coloured,Adult,male,1,1,201602,2016-02-06,7,Sat,0.000000,Weekend,February,Live Events,15:27:00,0.000000,15,1899-12-31T00:00:00.000Z,Afternoon (12:00–16:59)
809231,45,Gauteng,black,Adult,male,1,1,201602,2016-02-10,4,Wed,7.950000,Weekday,February,Channel O,13:22:00,0.132500,13,1899-12-31T00:07:57.000Z,Afternoon (12:00–16:59)
859641,37,Kwazulu Natal,indian_asian,Adult,male,1,1,201603,2016-03-11,6,Fri,1.116667,Weekday,March,Cartoon Network,08:00:00,0.018611,8,1899-12-31T00:01:07.000Z,Morning (06:00–11:59)
2285984,42,Eastern Cape,coloured,Adult,male,1,1,201601,2016-01-15,6,Fri,0.516667,Weekday,January,Cartoon Network,10:11:00,0.008611,10,1899-12-31T00:00:31.000Z,Morning (06:00–11:59)
892770,24,Mpumalanga,white,Young Adult,male,1,1,201601,2016-01-11,2,Mon,0.300000,Weekday,January,Live Events,14:03:00,0.005000,14,1899-12-31T00:00:18.000Z,Afternoon (12:00–16:59)
939925,26,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-29,3,Tue,16.300000,Weekday,March,ICC Cricket World Cup 2011,11:20:00,0.271667,11,1899-12-31T00:16:18.000Z,Morning (06:00–11:59)
2368852,35,Mpumalanga,black,Adult,male,1,1,201601,2016-01-04,2,Mon,0.733333,Weekday,January,CNN,10:06:00,0.012222,10,1899-12-31T00:00:44.000Z,Morning (06:00–11:59)
788947,39,Kwazulu Natal,black,Adult,male,1,1,201602,2016-02-10,4,Wed,3.700000,Weekday,February,SuperSport Blitz,21:11:00,0.061667,21,1899-12-31T00:03:42.000Z,Evening (17:00–23:59)
788949,29,Gauteng,white,Young Adult,male,1,1,201602,2016-02-03,4,Wed,15.700000,Weekday,February,E! Entertainment,19:34:00,0.261667,19,1899-12-31T00:15:42.000Z,Evening (17:00–23:59)
772091,34,Gauteng,coloured,Young Adult,male,1,1,201601,2016-01-30,7,Sat,0.466667,Weekend,January,SuperSport Blitz,05:39:00,0.007778,5,1899-12-31T00:00:28.000Z,Midnight (00:00–05:59)
787846,32,Western Cape,coloured,Young Adult,female,1,1,201603,2016-03-25,6,Fri,0.450000,Weekday,March,Channel O,10:12:00,0.007500,10,1899-12-31T00:00:27.000Z,Morning (06:00–11:59)
772102,60,Western Cape,coloured,Middle-Aged,male,1,1,201601,2016-01-14,5,Thu,0.000000,Weekday,January,SuperSport Blitz,05:03:00,0.000000,5,1899-12-31T00:00:00.000Z,Midnight (00:00–05:59)
803807,29,Gauteng,white,Young Adult,male,1,1,201602,2016-02-16,3,Tue,1.033333,Weekday,February,Live Events,18:21:00,0.017223,18,1899-12-31T00:01:02.000Z,Evening (17:00–23:59)
2286975,43,Gauteng,indian_asian,Adult,male,1,1,201603,2016-03-03,5,Thu,25.866667,Weekday,March,Live Events,15:25:00,0.431111,15,1899-12-31T00:25:52.000Z,Afternoon (12:00–16:59)
788969,42,North West,black,Adult,male,1,1,201603,2016-03-19,7,Sat,2.366667,Weekend,March,Cartoon Network,04:58:00,0.039444,4,1899-12-31T00:02:22.000Z,Midnight (00:00–05:59)
2090790,41,Gauteng,white,Adult,male,1,1,201603,2016-03-14,2,Mon,1.450000,Weekday,March,Cartoon Network,10:58:00,0.024167,10,1899-12-31T00:01:27.000Z,Morning (06:00–11:59)
806601,48,Kwazulu Natal,white,Adult,male,1,1,201602,2016-02-21,1,Sun,2.333333,Weekend,February,ICC Cricket World Cup 2011,15:03:00,0.038889,15,1899-12-31T00:02:20.000Z,Afternoon (12:00–16:59)
98046,31,Kwazulu Natal,black,Young Adult,male,1,1,201601,2016-01-07,5,Thu,6.550000,Weekday,January,Trace TV,20:15:00,0.109167,20,1899-12-31T00:06:33.000Z,Evening (17:00–23:59)
820763,35,Gauteng,black,Adult,female,1,1,201603,2016-03-02,4,Wed,6.066667,Weekday,March,Africa Magic,19:36:00,0.101111,19,1899-12-31T00:06:04.000Z,Evening (17:00–23:59)
788990,27,Mpumalanga,black,Young Adult,male,1,1,201602,2016-02-03,4,Wed,0.333333,Weekday,February,Boomerang,10:45:00,0.005556,10,1899-12-31T00:00:20.000Z,Morning (06:00–11:59)
733347,34,North West,Unknown,Young Adult,male,1,1,201601,2016-01-23,7,Sat,0.650000,Weekend,January,Channel O,17:29:00,0.010833,17,1899-12-31T00:00:39.000Z,Evening (17:00–23:59)
895624,42,Kwazulu Natal,black,Adult,female,1,1,201603,2016-03-21,2,Mon,0.600000,Weekday,March,Trace TV,19:26:00,0.010000,19,1899-12-31T00:00:36.000Z,Evening (17:00–23:59)
891865,36,North West,indian_asian,Adult,male,1,1,201603,2016-03-24,5,Thu,22.533333,Weekday,March,Live Events,08:56:00,0.375556,8,1899-12-31T00:22:32.000Z,Morning (06:00–11:59)
2203737,29,Free State,black,Young Adult,male,1,1,201603,2016-03-23,4,Wed,0.000000,Weekday,March,ICC Cricket World Cup 2011,13:08:00,0.000000,13,1899-12-31T00:00:00.000Z,Afternoon (12:00–16:59)
809323,35,Mpumalanga,coloured,Adult,female,1,1,201602,2016-02-04,5,Thu,3.750000,Weekday,February,Trace TV,10:18:00,0.062500,10,1899-12-31T00:03:45.000Z,Morning (06:00–11:59)
803882,44,Gauteng,black,Adult,male,1,1,201603,2016-03-06,1,Sun,4.250000,Weekend,March,Live Events,06:15:00,0.070834,6,1899-12-31T00:04:15.000Z,Morning (06:00–11:59)
930433,34,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-30,4,Wed,69.033333,Weekday,March,ICC Cricket World Cup 2011,14:20:00,1.150556,14,1899-12-31T01:09:02.000Z,Afternoon (12:00–16:59)
886721,30,Gauteng,indian_asian,Young Adult,male,1,1,201603,2016-03-21,2,Mon,0.350000,Weekday,March,Boomerang,23:43:00,0.005833,23,1899-12-31T00:00:21.000Z,Evening (17:00–23:59)
809333,28,Gauteng,black,Young Adult,male,1,1,201602,2016-02-22,2,Mon,1.050000,Weekday,February,Channel O,04:03:00,0.017500,4,1899-12-31T00:01:03.000Z,Midnight (00:00–05:59)
809333,28,Gauteng,black,Young Adult,male,1,1,201602,2016-02-04,5,Thu,0.250000,Weekday,February,Vuzu,17:58:00,0.004167,17,1899-12-31T00:00:15.500Z,Evening (17:00–23:59)
772177,25,Gauteng,black,Young Adult,female,1,1,201602,2016-02-01,2,Mon,4.000000,Weekday,February,Cartoon Network,08:13:00,0.066667,8,1899-12-31T00:04:00.000Z,Morning (06:00–11:59)
1106847,57,North West,black,Middle-Aged,male,1,1,201603,2016-03-06,1,Sun,1.850000,Weekend,March,kykNET,06:46:00,0.030834,6,1899-12-31T00:01:51.000Z,Morning (06:00–11:59)
779728,28,Gauteng,white,Young Adult,male,1,1,201603,2016-03-12,7,Sat,2.066667,Weekend,March,Vuzu,22:55:00,0.034444,22,1899-12-31T00:02:04.000Z,Evening (17:00–23:59)
779728,28,Gauteng,white,Young Adult,male,1,1,201601,2016-01-14,5,Thu,0.900000,Weekday,January,Trace TV,09:37:00,0.015000,9,1899-12-31T00:00:54.000Z,Morning (06:00–11:59)
61198,0,Uncategorized,Unknown,Kids,Unknown,1,0,201601,2016-01-11,2,Mon,16.300000,Weekday,January,Trace TV,17:48:00,0.271667,17,1899-12-31T00:16:18.000Z,Evening (17:00–23:59)
789054,42,Western Cape,black,Adult,male,1,1,201602,2016-02-08,2,Mon,1.700000,Weekday,February,CNN,22:27:00,0.028334,22,1899-12-31T00:01:42.000Z,Evening (17:00–23:59)
789056,48,Gauteng,black,Adult,female,1,1,201603,2016-03-31,5,Thu,6.733333,Weekday,March,CNN,23:37:00,0.112222,23,1899-12-31T00:06:44.000Z,Evening (17:00–23:59)
820859,35,Eastern Cape,coloured,Adult,male,1,1,201602,2016-02-28,1,Sun,15.516667,Weekend,February,CNN,07:22:00,0.258611,7,1899-12-31T00:15:31.000Z,Morning (06:00–11:59)
764773,24,Gauteng,coloured,Young Adult,male,1,1,201601,2016-01-20,4,Wed,0.183333,Weekday,January,Africa Magic,16:40:00,0.003056,16,1899-12-31T00:00:11.500Z,Afternoon (12:00–16:59)
789062,33,Gauteng,black,Young Adult,male,1,1,201602,2016-02-08,2,Mon,0.000000,Weekday,February,Africa Magic,14:59:00,0.000000,14,1899-12-31T00:00:00.000Z,Afternoon (12:00–16:59)
2287109,27,Western Cape,black,Young Adult,male,1,1,201603,2016-03-12,7,Sat,0.150000,Weekend,March,Africa Magic,22:52:00,0.002500,22,1899-12-31T00:00:09.500Z,Evening (17:00–23:59)
809369,33,Western Cape,coloured,Young Adult,male,1,1,201601,2016-01-02,7,Sat,3.466667,Weekend,January,Boomerang,12:19:00,0.057778,12,1899-12-31T00:03:28.000Z,Afternoon (12:00–16:59)
772209,19,Mpumalanga,Unknown,Teenager,male,1,1,201601,2016-01-02,7,Sat,0.233333,Weekend,January,Africa Magic,08:23:00,0.003889,8,1899-12-31T00:00:14.500Z,Morning (06:00–11:59)
803936,35,Gauteng,coloured,Adult,male,1,1,201602,2016-02-19,6,Fri,0.950000,Weekday,February,Africa Magic,18:57:00,0.015833,18,1899-12-31T00:00:57.000Z,Evening (17:00–23:59)
