Sub_ID,Age,Region,Ethnicity_Group,Age_Groups,Gender_Group,Email_Flag,SM_Flag,month_id,watch_date,day_of_week,day_name,watch_Minutes,day_classification,month_name,tv_channel,watch_time,Watch_Hours,hour_of_day,duration,time_bucket
793571,9,Eastern Cape,white,Kids,female,1,1,201603,2016-03-18,6,Fri,0.166667,Weekday,March,Boomerang,16:56:00,0.002778,16,1899-12-31T00:00:10.000Z,Afternoon (12:00–16:59)
808917,34,Gauteng,black,Young Adult,male,1,1,201602,2016-02-27,7,Sat,0.433333,Weekend,February,Break in transmission,18:13:00,0.007222,18,1899-12-31T00:00:26.000Z,Evening (17:00–23:59)
892461,30,Kwazulu Natal,indian_asian,Young Adult,male,1,1,201603,2016-03-12,7,Sat,1.300000,Weekend,March,SawSee,08:24:00,0.021667,8,1899-12-31T00:01:18.000Z,Morning (06:00–11:59)
820335,17,Gauteng,indian_asian,Teenager,male,1,1,201603,2016-03-08,3,Tue,22.933333,Weekday,March,ICC Cricket World Cup 2011,09:19:00,0.382223,9,1899-12-31T00:22:56.000Z,Morning (06:00–11:59)
808930,35,Limpopo,indian_asian,Adult,male,1,1,201603,2016-03-02,4,Wed,4.500000,Weekday,March,ICC Cricket World Cup 2011,09:38:00,0.075000,9,1899-12-31T00:04:30.000Z,Morning (06:00–11:59)
808930,35,Limpopo,indian_asian,Adult,male,1,1,201603,2016-03-30,4,Wed,23.133333,Weekday,March,ICC Cricket World Cup 2011,12:19:00,0.385555,12,1899-12-31T00:23:08.000Z,Afternoon (12:00–16:59)
868895,23,Western Cape,coloured,Young Adult,male,1,1,201603,2016-03-12,7,Sat,1.150000,Weekend,March,Trace TV,12:19:00,0.019167,12,1899-12-31T00:01:09.000Z,Afternoon (12:00–16:59)
771796,35,Western Cape,coloured,Adult,male,1,1,201602,2016-02-06,7,Sat,0.300000,Weekend,February,Live Events,16:18:00,0.005000,16,1899-12-31T00:00:18.000Z,Afternoon (12:00–16:59)
2406478,39,Eastern Cape,Unknown,Adult,male,1,1,201603,2016-03-26,7,Sat,7.000000,Weekend,March,Live Events,13:50:00,0.116667,13,1899-12-31T00:07:00.000Z,Afternoon (12:00–16:59)
939600,31,Gauteng,black,Young Adult,male,1,1,201603,2016-03-20,1,Sun,1.233333,Weekend,March,Live Events,15:36:00,0.020556,15,1899-12-31T00:01:14.000Z,Afternoon (12:00–16:59)
